[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=373248
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=-8248318472910187742 size=4 origin=(-288,-256) minY=-64 height=384
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.456266 amp=1.000 persist=1.0000 contrib=-0.456266
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.351699 amp=1.000 persist=1.0000 contrib=0.351699
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.488411 amp=0.500 persist=0.5010 contrib=0.122342
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.189454 amp=1.000 persist=0.2505 contrib=0.047456
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.068969 amp=2.000 persist=0.1252 contrib=0.017276
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.462787 amp=1.000 persist=0.0626 contrib=0.028981
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=0.012404 amp=2.000 persist=0.0313 contrib=0.000777
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.404546 amp=1.000 persist=0.0157 contrib=-0.006333
[OCT] fo=-8 i=7 oct=-1 freq=0.500000 raw=0.668809 amp=2.000 persist=0.0039 contrib=0.005235
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.007268 amp=1.000 persist=1.0000 contrib=-0.007268
[NOODLE] (-278,0,-240) raw_n=-0.383998 raw_t=0.230479 raw_a=-0.738421 raw_b=0.244035 raw_cheese=0.466248 raw_layer=0.185234 tree=64.000000
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=-0.459627 amp=1.000 persist=1.0000 contrib=-0.459627
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.353891 amp=1.000 persist=1.0000 contrib=0.353891
[OCT] fo=-8 i=0 oct=-8 freq=0.003906 raw=0.486606 amp=0.500 persist=0.5010 contrib=0.121889
[OCT] fo=-8 i=1 oct=-7 freq=0.007812 raw=0.186698 amp=1.000 persist=0.2505 contrib=0.046766
[OCT] fo=-8 i=2 oct=-6 freq=0.015625 raw=0.073421 amp=2.000 persist=0.1252 contrib=0.018391
[OCT] fo=-8 i=3 oct=-5 freq=0.031250 raw=0.448561 amp=1.000 persist=0.0626 contrib=0.028090
[OCT] fo=-8 i=4 oct=-4 freq=0.062500 raw=-0.028827 amp=2.000 persist=0.0313 contrib=-0.001805
[OCT] fo=-8 i=5 oct=-3 freq=0.125000 raw=-0.326118 amp=1.000 persist=0.0157 contrib=-0.005106
