[OK] cpp=1152 java=1248 common=480 diff>1e-5=1632
[DIFF] barrier y=-64 cpp=-0.108209 java=None diff=cpp-only
[DIFF] barrier y=-60 cpp=-0.021445 java=None diff=cpp-only
[DIFF] barrier y=-56 cpp=0.107708 java=None diff=cpp-only
[DIFF] barrier y=-52 cpp=0.23374 java=None diff=cpp-only
[DIFF] barrier y=-48 cpp=0.250017 java=None diff=cpp-only
[DIFF] barrier y=-44 cpp=0.362221 java=None diff=cpp-only
[DIFF] barrier y=-40 cpp=0.552101 java=None diff=cpp-only
[DIFF] barrier y=-36 cpp=0.687668 java=None diff=cpp-only
[DIFF] barrier y=-32 cpp=0.675073 java=None diff=cpp-only
[DIFF] barrier y=-28 cpp=0.551305 java=None diff=cpp-only
[DIFF] barrier y=-24 cpp=0.381832 java=None diff=cpp-only
[DIFF] barrier y=-20 cpp=0.186623 java=None diff=cpp-only
[DIFF] barrier y=-16 cpp=0.001898 java=None diff=cpp-only
[DIFF] barrier y=-12 cpp=-0.141707 java=None diff=cpp-only
[DIFF] barrier y=-8 cpp=-0.243355 java=None diff=cpp-only
[DIFF] barrier y=-4 cpp=-0.301375 java=None diff=cpp-only
[DIFF] barrier y=0 cpp=-0.312549 java=None diff=cpp-only
[DIFF] barrier y=4 cpp=-0.180882 java=None diff=cpp-only
[DIFF] barrier y=8 cpp=0.008376 java=None diff=cpp-only
[DIFF] barrier y=12 cpp=0.067877 java=None diff=cpp-only
[DIFF] barrier y=16 cpp=-0.059618 java=None diff=cpp-only
[DIFF] barrier y=20 cpp=-0.170858 java=None diff=cpp-only
[DIFF] barrier y=24 cpp=-0.151179 java=None diff=cpp-only
[DIFF] barrier y=28 cpp=-0.14518 java=None diff=cpp-only
[DIFF] barrier y=32 cpp=-0.204396 java=None diff=cpp-only
[DIFF] barrier y=36 cpp=-0.03618 java=None diff=cpp-only
[DIFF] barrier y=40 cpp=0.182488 java=None diff=cpp-only
[DIFF] barrier y=44 cpp=0.111747 java=None diff=cpp-only
[DIFF] barrier y=48 cpp=-0.111018 java=None diff=cpp-only
[DIFF] barrier y=52 cpp=-0.208584 java=None diff=cpp-only
[DIFF] barrier y=56 cpp=-0.079946 java=None diff=cpp-only
[DIFF] barrier y=60 cpp=0.090479 java=None diff=cpp-only
[DIFF] barrier y=64 cpp=0.134527 java=None diff=cpp-only
[DIFF] barrier y=68 cpp=0.249372 java=None diff=cpp-only
[DIFF] barrier y=72 cpp=0.369069 java=None diff=cpp-only
[DIFF] barrier y=76 cpp=0.424867 java=None diff=cpp-only
