[OK] cpp=1152 java=1248 common=1152 diff>1e-5=405
[DIFF] barrierNoise y=-16 cpp=0.001898 java=0.001909 diff=-1.1000000000000159e-05
[DIFF] barrierNoise y=-12 cpp=-0.141707 java=-0.141696 diff=-1.1000000000011001e-05
[DIFF] barrierNoise y=56 cpp=-0.079946 java=-0.079957 diff=1.0999999999997123e-05
[DIFF] barrierNoise y=60 cpp=0.090479 java=0.090467 diff=1.1999999999998123e-05
[DIFF] barrierNoise y=64 cpp=0.134527 java=0.134515 diff=1.2000000000012001e-05
[DIFF] barrierNoise y=92 cpp=-0.289433 java=-0.289445 diff=1.2000000000012001e-05
[DIFF] barrierNoise y=104 cpp=0.032011 java=0.032022 diff=-1.1000000000004062e-05
[DIFF] barrierNoise y=108 cpp=-0.084384 java=-0.084372 diff=-1.1999999999998123e-05
[DIFF] barrierNoise y=112 cpp=-0.284984 java=-0.28497 diff=-1.4000000000014001e-05
[DIFF] barrierNoise y=132 cpp=0.345422 java=0.345432 diff=-1.0000000000010001e-05
[DIFF] barrierNoise y=136 cpp=0.106809 java=0.106824 diff=-1.5000000000001124e-05
[DIFF] barrierNoise y=140 cpp=-0.14436 java=-0.144348 diff=-1.1999999999984245e-05
[DIFF] barrierNoise y=144 cpp=-0.153465 java=-0.153449 diff=-1.5999999999988246e-05
[DIFF] barrierNoise y=148 cpp=-0.228793 java=-0.228777 diff=-1.5999999999988246e-05
[DIFF] barrierNoise y=168 cpp=0.237559 java=0.23757 diff=-1.1000000000011001e-05
[DIFF] barrierNoise y=188 cpp=-0.655157 java=-0.655168 diff=1.0999999999983245e-05
[DIFF] barrierNoise y=244 cpp=0.191111 java=0.191121 diff=-1.0000000000010001e-05
[DIFF] barrierNoise y=248 cpp=0.231942 java=0.231954 diff=-1.1999999999984245e-05
[DIFF] continents y=-64 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
[DIFF] continents y=-60 cpp=-0.205657 java=-0.207208 diff=0.0015509999999999968
