# vanilla 侧块类别汇总（natural=C++ 应生成、structure_feature=C++ 不做的结构/FEATURE）
natural: 55113 (82.21%)
air: 6428 (9.59%)
structure_feature: 5296 (7.90%)
unknown: 205 (0.31%)

# 明细（vanilla 名称 -> 计数）
natural vanilla=6(minecraft:andesite) 8651
natural vanilla=909(minecraft:tuff) 8256
natural vanilla=2(minecraft:granite) 8056
natural vanilla=4(minecraft:diorite) 7795
air vanilla=0(minecraft:air) 6428
natural vanilla=1(minecraft:stone) 5433
natural vanilla=32(minecraft:water) 5072
natural vanilla=9(minecraft:dirt) 4942
natural vanilla=37(minecraft:gravel) 4162
natural vanilla=34(minecraft:sand) 1143
structure_feature vanilla=43(minecraft:coal_ore) 779
natural vanilla=99(minecraft:sandstone) 778
structure_feature vanilla=8(minecraft:grass_block) 735
structure_feature vanilla=923(minecraft:copper_ore) 564
structure_feature vanilla=41(minecraft:iron_ore) 465
natural vanilla=602(minecraft:dirt_path) 388
structure_feature vanilla=12(minecraft:cobblestone) 290
structure_feature vanilla=679(minecraft:kelp_plant) 262
structure_feature vanilla=243(minecraft:deepslate_redstone_ore) 235
structure_feature vanilla=176(minecraft:oak_stairs) 223
structure_feature vanilla=13(minecraft:oak_planks) 221
structure_feature vanilla=42(minecraft:deepslate_iron_ore) 209
structure_feature vanilla=40(minecraft:deepslate_gold_ore) 192
natural vanilla=730(minecraft:cave_air) 160
natural vanilla=991(minecraft:smooth_basalt) 138
structure_feature vanilla=46(minecraft:oak_log) 127
structure_feature vanilla=96(minecraft:deepslate_lapis_ore) 121
structure_feature vanilla=123(minecraft:grass) 119
natural vanilla=910(minecraft:calcite) 112
structure_feature vanilla=180(minecraft:deepslate_diamond_ore) 105
structure_feature vanilla=95(minecraft:lapis_ore) 98
unknown vanilla=903(minecraft:amethyst_block) 74
structure_feature vanilla=678(minecraft:kelp) 69
structure_feature vanilla=169(minecraft:mossy_cobblestone) 69
structure_feature vanilla=924(minecraft:deepslate_copper_ore) 66
structure_feature vanilla=82(minecraft:oak_leaves) 58
structure_feature vanilla=254(minecraft:oak_fence) 52
structure_feature vanilla=39(minecraft:gold_ore) 45
structure_feature vanilla=126(minecraft:seagrass) 31
structure_feature vanilla=242(minecraft:redstone_ore) 30
structure_feature vanilla=127(minecraft:tall_seagrass) 28
natural vanilla=607(minecraft:magma_block) 27
unknown vanilla=184(minecraft:farmland) 27
structure_feature vanilla=172(minecraft:wall_torch) 25
unknown vanilla=318(minecraft:glow_lichen) 24
unknown vanilla=477(minecraft:hay_block) 22
unknown vanilla=311(minecraft:glass_pane) 14
structure_feature vanilla=183(minecraft:wheat) 14
structure_feature vanilla=195(minecraft:oak_door) 10
structure_feature vanilla=384(minecraft:potatoes) 8
structure_feature vanilla=539(minecraft:oak_slab) 8
unknown vanilla=130(minecraft:white_wool) 8
unknown vanilla=134(minecraft:yellow_wool) 8
unknown vanilla=904(minecraft:budding_amethyst) 8
structure_feature vanilla=252(minecraft:sugar_cane) 6
structure_feature vanilla=44(minecraft:deepslate_coal_ore) 5
structure_feature vanilla=383(minecraft:carrots) 5
structure_feature vanilla=501(minecraft:tall_grass) 4
structure_feature vanilla=198(minecraft:cobblestone_stairs) 4
unknown vanilla=147(minecraft:dandelion) 4
structure_feature vanilla=171(minecraft:torch) 4
unknown vanilla=482(minecraft:yellow_carpet) 3
structure_feature vanilla=319(minecraft:oak_fence_gate) 3
unknown vanilla=152(minecraft:azure_bluet) 3
unknown vanilla=103(minecraft:white_bed) 2
structure_feature vanilla=74(minecraft:stripped_oak_wood) 2
structure_feature vanilla=177(minecraft:chest) 2
unknown vanilla=773(minecraft:loom) 2
unknown vanilla=834(minecraft:composter) 1
unknown vanilla=778(minecraft:fletching_table) 1
structure_feature vanilla=366(minecraft:potted_dandelion) 1
unknown vanilla=149(minecraft:poppy) 1
unknown vanilla=906(minecraft:large_amethyst_bud) 1
unknown vanilla=905(minecraft:amethyst_cluster) 1
structure_feature vanilla=175(minecraft:spawner) 1
structure_feature vanilla=158(minecraft:cornflower) 1
unknown vanilla=783(minecraft:bell) 1
