[GPU] compiling pipeline (one-time ~70-100s)...
[GPU] pipeline ready, splitTotal=8672 perSample=352 splineBindBase=6
[device] NVIDIA GeForce RTX 4060 Laptop GPU
x,y,z,cpu_f32,gpu_f32,absdiff
0,-64,0,0.0374824181,0.0374824181,0
4,-64,0,0.0374824181,0.0374824181,0
0,-56,4,0.0830148682,0.0830148682,0
12,0,12,0.0815513581,0.0815513209,3.73e-08
4,64,8,-0.185222447,-0.185222521,7.45e-08
8,128,4,-0.458333343,-0.458333343,0
0,200,12,-0.458333343,-0.458333343,0
12,320,8,-0.0249947906,-0.0249947906,0
-4608,-64,-4096,0.0374824181,0.0374824181,0
-4604,-64,-4096,0.0374824181,0.0374824181,0
-4608,-56,-4092,0.0884289518,0.0493817218,0.039
-4596,0,-4084,0.0800907984,0.00748725748,0.0726
-4604,64,-4088,0.062718302,0.0225459598,0.0402
-4600,128,-4092,-0.458333343,0.0194327198,0.478
-4608,200,-4084,-0.458333343,0.0434706621,0.502
-4596,320,-4088,-0.0249947906,-0.0249947906,0
[tri] n=16 major_diff(>1e-4)=5
