vanilla: magic=0x57474232 seed=-2032795982907864146 origin=(16,16) min_y=0 height=256
chunk(1,1) 长度 vanilla=65536 rust=65536（一致）
y      va_air  ru_air   vanilla主要   rust主要
y=0    0      0         31x256    31x256
y=8    0      0         849x25 256x231    849x25 256x231
y=16   0      0         256x256    256x256
y=24   0      0         607x8 256x178    849x11 607x28
y=32   0      0         730x84 607x42    256x223 37x33
y=40   0      0         730x91 256x135    256x224 37x32
y=48   0      0         730x80 417x3    256x256
y=56   0      0         730x56 417x7    256x256
y=64   0      0         417x9 256x247    256x256
y=72   0      0         417x5 256x250    256x256
y=80   0      0         256x256    256x256
y=88   0      0         256x250 45x6    256x256
y=96   0      0         841x2 256x254    256x256
y=104  0      0         417x8 256x248    256x256
y=112  0      0         417x1 256x255    256x256
y=120  0      0         256x256    256x256
y=128  256    256       0x256    0x256
y=136  256    256       0x256    0x256
y=144  256    256       0x256    0x256
y=152  256    256       0x256    0x256
y=160  256    256       0x256    0x256
y=168  256    256       0x256    0x256
y=176  256    256       0x256    0x256
y=184  256    256       0x256    0x256
y=192  256    256       0x256    0x256
y=200  256    256       0x256    0x256
y=208  256    256       0x256    0x256
y=216  256    256       0x256    0x256
y=224  256    256       0x256    0x256
y=232  256    256       0x256    0x256
y=240  256    256       0x256    0x256
y=248  256    256       0x256    0x256
总差异块数: 3924/65536 (5.99%)
