vanilla: magic=0x57474232 seed=-2032795982907864146 size=1 origin=(-80,-48) min_y=0 height=256
chunk(-5,-3) vanilla=65536 rust=65536（rust 长度 65536）
y      va_air  ru_air   vanilla主要        rust主要
y=0    0      0        31x256    31x256
y=8    0      0        257x18 256x220 45x3    256x247 37x9
y=16   0      0        849x65 841x1 257x5    849x65 417x5 257x8
y=24   0      0        258x105 257x126 256x16    607x6 257x10 256x235
y=32   252    252      258x4 0x252    256x1 37x3 0x252
y=40   147    147      258x56 257x48 256x5    257x71 256x38 0x147
y=48   194    194      258x12 257x36 256x14    257x5 256x57 0x194
y=56   73     73       730x46 258x41 257x24    257x12 256x171 0x73
y=64   0      0        730x174 417x9 258x2    256x256
y=72   0      0        730x187 417x3 258x19    256x256
y=80   161    161      730x68 256x27 0x161    256x95 0x161
y=88   1      1        730x137 417x2 258x27    417x4 256x251 0x1
y=96   0      0        730x89 256x167    256x256
y=104  36     36       256x216 45x4 0x36    256x220 0x36
y=112  0      0        730x9 417x1 256x246    256x256
y=120  0      0        730x16 256x240    417x6 256x250
y=128  256    256      0x256    0x256
y=136  256    256      0x256    0x256
y=144  256    256      0x256    0x256
y=152  256    256      0x256    0x256
y=160  256    256      0x256    0x256
y=168  256    256      0x256    0x256
y=176  256    256      0x256    0x256
y=184  256    256      0x256    0x256
y=192  256    256      0x256    0x256
y=200  256    256      0x256    0x256
y=208  256    256      0x256    0x256
y=216  256    256      0x256    0x256
y=224  256    256      0x256    0x256
y=232  256    256      0x256    0x256
y=240  256    256      0x256    0x256
y=248  256    256      0x256    0x256
