[CORESWAP] dll=E:\PYTHON\CoreSwap\versions\1.20.1\cpp\build-msvc\bin\block_probe.exe size=550912
[CORESWAP] crash handler installed
blocks file: magic=0x57474232 seed=8576294172403134396 size=6 origin=(720,-432) minY=-64 height=384
[PROF] chunk(45,-27): density=46.07ms aquifer+oreVein=32.46ms sh4+surface=22.70ms total=101.23ms
[PROF] chunk(46,-27): density=43.94ms aquifer+oreVein=26.21ms sh4+surface=8.28ms total=78.43ms
[PROF] chunk(47,-27): density=45.65ms aquifer+oreVein=33.69ms sh4+surface=8.01ms total=87.35ms
[PROF] chunk(48,-27): density=45.03ms aquifer+oreVein=35.09ms sh4+surface=8.43ms total=88.55ms
[PROF] chunk(49,-27): density=45.34ms aquifer+oreVein=32.90ms sh4+surface=8.83ms total=87.07ms
[PROF] chunk(50,-27): density=45.80ms aquifer+oreVein=27.89ms sh4+surface=10.62ms total=84.31ms
[PROF] chunk(45,-26): density=43.51ms aquifer+oreVein=30.41ms sh4+surface=7.83ms total=81.75ms
[PROF] chunk(46,-26): density=43.34ms aquifer+oreVein=40.95ms sh4+surface=6.62ms total=90.92ms
[PROF] chunk(47,-26): density=43.57ms aquifer+oreVein=48.44ms sh4+surface=5.53ms total=97.54ms
[PROF] chunk(48,-26): density=44.50ms aquifer+oreVein=25.57ms sh4+surface=7.56ms total=77.63ms
[PROF] chunk(49,-26): density=44.80ms aquifer+oreVein=32.27ms sh4+surface=8.01ms total=85.08ms
[PROF] chunk(50,-26): density=44.00ms aquifer+oreVein=35.50ms sh4+surface=9.05ms total=88.55ms
[PROF] chunk(45,-25): density=41.07ms aquifer+oreVein=36.96ms sh4+surface=6.15ms total=84.19ms
[PROF] chunk(46,-25): density=40.96ms aquifer+oreVein=42.36ms sh4+surface=5.80ms total=89.11ms
[PROF] chunk(47,-25): density=42.64ms aquifer+oreVein=39.57ms sh4+surface=5.84ms total=88.05ms
[PROF] chunk(48,-25): density=42.97ms aquifer+oreVein=16.41ms sh4+surface=7.58ms total=66.96ms
